id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"11084";"3243";VIA ARCANGELO CORELLI;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"12";9.24891944695928;45.4712040905697;"(45.4712040905697, 9.24891944695928)"
"11085";"1201";VIA VITTOR PISANI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"123";9.20181298070878;45.4836256179626;"(45.4836256179626, 9.20181298070878)"
"11086";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"208";9.14711104914009;45.476784480666;"(45.476784480666, 9.14711104914009)"
"11089";"2275";VIA PADOVA;;ciclabile;ciclabile segnaletica;marciapiede;bidirezionale;corsia ciclabile;"25";9.21969932859165;45.4883115303093;"(45.4883115303093, 9.21969932859165)"
"11091";"2715";VIALE CITTA DI FIUME;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"15";9.19989622565747;45.4763574759267;"(45.4763574759267, 9.19989622565747)"
"11094";"7482";VIALE ALCIDE DE GASPERI;;urbana;promiscuo pedoni;rampa;bidirezionale;non regolamentato;"149";9.13409814405517;45.4937362666921;"(45.4937362666921, 9.13409814405517)"
"11099";"1377";PIAZZA CARBONARI;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"19";9.20160764322975;45.4939750954875;"(45.4939750954875, 9.20160764322975)"
"11101";"6707";VIA BISCEGLIE;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"22";9.12051415249381;45.4470785233478;"(45.4470785233478, 9.12051415249381)"
"11102";"6707";VIA BISCEGLIE;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"7";9.12035338959601;45.447044462984;"(45.447044462984, 9.12035338959601)"
"11103";"1377";PIAZZA CARBONARI;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"15";9.200702088054;45.4928753019732;"(45.4928753019732, 9.200702088054)"
"11104";"7482";VIALE ALCIDE DE GASPERI;;urbana;promiscuo pedoni;passerella;bidirezionale;non regolamentato;"64";9.13389589490606;45.493493897229;"(45.493493897229, 9.13389589490606)"
"11107";"6643";VIA DELLE FORZE ARMATE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"26";9.11963282754842;45.4612898470655;"(45.4612898470655, 9.11963282754842)"
"11111";"3251";VIA TUCIDIDE;;ciclabile;ciclabile sede propria;ponte;bidirezionale;corsia ciclabile;"31";9.24369203543385;45.4697823509797;"(45.4697823509797, 9.24369203543385)"
"11112";"4068";CORSO LODI;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"19";9.22383356086998;45.440141391161;"(45.440141391161, 9.22383356086998)"
"11113";"3118";CORSO INDIPENDENZA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"10";9.21472475374586;45.468138684645;"(45.468138684645, 9.21472475374586)"
"11115";"236";VIA SENATO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"30";9.19858282087348;45.469522693861;"(45.469522693861, 9.19858282087348)"
"11117";"2715";VIALE CITTA DI FIUME;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"154";9.20013827925201;45.4765391718676;"(45.4765391718676, 9.20013827925201)"
"11118";"236";VIA SENATO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"35";9.19904765595015;45.4690687471095;"(45.4690687471095, 9.19904765595015)"
"11119";"7210";VIA PAOLO SARPI;;ciclabile;ciclabile segnaletica;marciapiede;monodirezionale - concorde;corsia ciclabile;"11";9.17913192660381;45.481671138812;"(45.481671138812, 9.17913192660381)"
"11128";"6707";VIA BISCEGLIE;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"350";9.11712621344732;45.4523618448259;"(45.4523618448259, 9.11712621344732)"
"11129";"1418";VIA EMILIO DE MARCHI;;ciclabile;ciclabile sede propria;ponte;bidirezionale;corsia ciclabile;"24";9.21065346613864;45.5069747816822;"(45.5069747816822, 9.21065346613864)"
